mu,rep,method,k_true,k_hat,NMI,ARI,runtime
0.5,1,Infomap,21,,0.0,0.0,0.7387259006500244
0.5,1,LPA,21,,0.0,0.0,0.0702323913574218
0.5,1,Leiden,21,,0.5194748397776636,0.3546328860047591,0.3311717510223388
0.5,1,Louvain,21,,0.4849395538574257,0.3167576975567625,0.7036280632019043
0.5,1,N2V+KM,21,,0.4532497545694058,0.2803104079461527,61.11448359489441
0.5,1,PHSCD,21,21.0,0.6512785236732714,0.5361124964879003,127.28518319129944
0.5,1,Spectral,21,,0.5813576423285128,0.4106629960751062,0.63934326171875
0.5,2,Greedy,22,,0.1787717121100903,0.0626911154522963,9.81120538711548
0.5,2,Infomap,22,,0.0,0.0,0.727653980255127
0.5,2,LPA,22,,0.0,0.0,0.0671198368072509
0.5,2,Leiden,22,,0.5020104226089812,0.3488083886957913,0.3210873603820801
0.5,2,Louvain,22,,0.4816305319791908,0.3388634351405874,0.7530961036682129
0.5,2,N2V+KM,22,,0.4493136941325284,0.3039035729514929,58.56935453414917
0.5,2,PHSCD,22,22.0,0.6836273903185281,0.5925421796978951,122.49618530273438
0.5,2,Spectral,22,,0.558928521051647,0.4026950285151269,1.136467695236206
0.6,0,Greedy,19,,0.0821899624959289,0.0213508272054561,11.020304441452026
0.6,0,Infomap,19,,0.0,0.0,0.7987823486328125
0.6,0,LPA,19,,0.0,0.0,0.0937862396240234
0.6,0,Leiden,19,,0.1582302741445797,0.0590833519620534,0.357797622680664
0.6,0,Louvain,19,,0.1240842984176695,0.039952810719547,0.8980717658996582
0.6,0,N2V+KM,19,,0.1411086946612311,0.0300358875820534,58.31804895401001
0.6,0,PHSCD,19,19.0,0.2415302511917131,0.1048706217367138,113.99903225898744
0.6,0,Spectral,19,,0.2092654600397955,0.0669808949358339,0.6006214618682861
0.6,1,Greedy,21,,0.0768665372080715,0.0174520925997216,4.3057732582092285
0.6,1,Infomap,21,,0.0,0.0,0.3097529411315918
0.6,1,LPA,21,,0.0,0.0,0.0438024997711181
0.6,1,Leiden,21,,0.1923294540739366,0.0767795635861889,0.1686952114105224
0.6,1,Louvain,21,,0.1586143647158389,0.049406022154899,0.3549871444702148
0.6,1,N2V+KM,21,,0.1926575626032181,0.051715365618605,29.859689950942997
0.6,1,PHSCD,21,21.0,0.3079038677708449,0.146080879149228,53.07090353965759
0.6,1,Spectral,21,,0.2075794289945512,0.0610899641787878,0.3868346214294433
0.6,2,Greedy,22,,0.0914957160026097,0.0306853259662994,4.138098955154419
0.6,2,Infomap,22,,0.0,0.0,0.2887759208679199
0.6,2,LPA,22,,0.0,0.0,0.0291423797607421
0.6,2,Leiden,22,,0.1455701426063494,0.0504012755327309,0.1779243946075439
0.6,2,Louvain,22,,0.1767685306885696,0.0883707631737879,0.3978261947631836
0.6,2,N2V+KM,22,,0.2036898188353044,0.0685858965416977,29.805098295211792
0.6,2,PHSCD,22,22.0,0.2750488101854554,0.1656187232077127,53.07869172096253
0.6,2,Spectral,22,,0.227767772105133,0.0951920280338079,0.3910109996795654
0.7,0,Greedy,19,,0.0374728260579394,0.0059658278969442,3.95
0.7,0,Infomap,19,,0.0,0.0,0.28
0.7,0,LPA,19,,0.0,0.0,0.03
0.7,0,Leiden,19,,0.0521212875653646,0.0053265267598466,0.18
0.7,0,Louvain,19,,0.0448749721611023,0.0042364985169519,0.37
0.7,0,N2V+KM,19,,0.0831148156115809,0.0055736467449025,42.13
0.7,0,PHSCD,19,19.0,0.124670996384328,0.0262167828837801,219.83
0.7,0,Spectral,19,,0.100670656169786,0.0123262019836452,0.43
0.7,1,Greedy,21,,0.0548407482725113,0.0072563368476932,14.8
0.7,1,Infomap,21,,0.0,0.0,0.99
0.7,1,LPA,21,,0.0,0.0,0.11
0.7,1,Leiden,21,,0.0730424236023045,0.0098493737647735,0.62
0.7,1,Louvain,21,,0.0720198725631707,0.0091259706484633,1.5
0.7,1,N2V+KM,21,,0.1081615994704332,0.0107773974285981,103.12
0.7,1,PHSCD,21,21.0,0.1356651777473858,0.031161469531703,206.92
0.7,1,Spectral,21,,0.1133186649067341,0.0139608503008384,1.71
0.7,2,Greedy,22,,0.03830327183792,0.0065332681336392,9.67
0.7,2,Infomap,22,,0.0,0.0,1.05
0.7,2,LPA,22,,0.0,0.0,0.07
0.7,2,Leiden,22,,0.0582082101509537,0.0109188562518667,0.53
0.7,2,Louvain,22,,0.07300475963439,0.0077078636824385,1.04
0.7,2,N2V+KM,22,,0.0983411182976605,0.0058834180200404,66.58
0.7,2,PHSCD,22,22.0,0.1335307554577484,0.0260611697669428,134.45
0.7,2,Spectral,22,,0.1072476615938527,0.0093278399650902,0.63
