dataset,method,runtime,NMI,ARI,F1,Purity,Q,NMI_std,ARI_std,F1_std,Purity_std,Q_std,runtime_std,k_hat,k_hat_std
Polblogs,Leiden,0.7339825630187988,0.6458751131634046,0.7708191283343635,0.8805739557519898,0.9509001636661212,0.4266964881839202,,,,,,,,
Polblogs,Infomap,2.241065740585327,0.522035713880414,0.6791990836496781,0.8220375778410882,0.9525368248772504,0.4246866516658801,,,,,,,,
Polblogs,Greedy,36.64082431793213,0.6540912774524906,0.7845304004429056,0.8886685042314778,0.9525368248772504,0.4268645486449929,,,,,,,,
Polblogs,LPA,0.3581809997558594,0.6844560642190437,0.7866388717431572,0.8925824850659043,0.9492635024549918,0.4259787115445312,,,,,,,,
Polblogs,Spectral,1.0428340435028076,0.0059990419630852,-0.0004824976894342,0.6654266420456278,0.5204582651391162,0.0004784956851535,,,,,,,,
Polblogs,N2V+KM,257.96377062797546,0.7259285139975876,0.8190096968307614,0.9096909169223856,0.9525368248772504,0.4246699866575408,,,,,,,,
Polblogs,PHSCD,221.69269831975305,0.7480843086820622,0.8359267139856302,0.9181642813202288,0.9571740316421168,0.4234579603427283,0.0129354172784735,0.0098636701283866,0.0049378544622552,0.0027003532287538,0.0024797386234969,43.41111141271076,2.0,0.0
Adjnoun,Louvain,0.0231993198394775,,,,,0.2945439446366782,,,,,,,,
Adjnoun,Leiden,0.0150632858276367,,,,,0.303678892733564,,,,,,,,
Adjnoun,Infomap,0.0298271179199218,,,,,0.0092346020761245,,,,,,,,
Adjnoun,Greedy,0.0893962383270263,,,,,0.2946961937716263,,,,,,,,
Adjnoun,LPA,0.0055792331695556,,,,,0.0,,,,,,,,
Lesmis,Louvain,0.0102276802062988,,,,,0.5491350982701965,,,,,,,,
Lesmis,Leiden,0.0078699588775634,,,,,0.56000837001674,,,,,,,,
Lesmis,Infomap,0.0427432060241699,,,,,0.5513361026722053,,,,,,,,
Lesmis,Greedy,0.0317614078521728,,,,,0.5005967511935023,,,,,,,,
Lesmis,LPA,0.0025084018707275,,,,,0.5322013144026287,,,,,,,,
Adjnoun,PHSCD-U,4.929859558741252,,,,,0.28112479815455593,,,,,0.0036730371085332025,1.0342033483551922,6.0,0.816496580927726
Lesmis,PHSCD-U,2.5851851304372153,,,,,0.5561281955897245,,,,,0.004884585562477568,0.024961766294046683,6.666666666666667,0.4714045207910317
